X1,X2,Accuracy,c.rep.sample..6..
GLM,Manual,0.998323513,PD46693
RF,Manual,0.998164983,PD46693
SVM,Manual,0.990909091,PD46693
GLM,Manual,0.998323513,PD46693
RF,Manual,0.998164983,PD46693
SVM,Manual,0.990909091,PD46693
GLM,InferCNV,0.98584507,T200
GLM,Manual,0.994071466,T200
RF,InferCNV,0.98038602,T200
RF,Manual,0.996197183,T200
SVM,InferCNV,0.966888367,T200
SVM,Manual,0.962078769,T200
GLM,InferCNV,0.995039683,T214
GLM,Manual,0.996547619,T214
RF,InferCNV,0.998928571,T214
RF,Manual,0.994761905,T214
SVM,InferCNV,0.965,T214
SVM,Manual,0.816587302,T214
GLM,InferCNV,0.993902439,T230
GLM,Manual,0.868902439,T230
RF,InferCNV,1,T230
RF,Manual,0.907012195,T230
SVM,InferCNV,0.868902439,T230
SVM,Manual,0.987804878,T230
GLM,InferCNV,0.98509058,T69
GLM,Manual,0.976938406,T69
RF,InferCNV,0.996630435,T69
RF,Manual,0.811050725,T69
SVM,InferCNV,0.9875,T69
SVM,Manual,0.975398551,T69
GLM,Manual,0.99787234,NB831
GLM,inferCNV,1,NB831
RF,Manual,0.995744681,NB831
RF,inferCNV,0.99893617,NB831
SVM,Manual,0.99787234,NB831
SVM,inferCNV,0.965517241,NB831
GLM,Manual,1,NB837
GLM,inferCNV,1,NB837
RF,Manual,1,NB837
RF,inferCNV,1,NB837
SVM,Manual,1,NB837
SVM,inferCNV,1,NB837
GLM,Manual,0.982758621,NB864
GLM,inferCNV,0.979885057,NB864
RF,Manual,0.982758621,NB864
RF,inferCNV,0.977011494,NB864
SVM,Manual,0.982758621,NB864
SVM,inferCNV,0.873563218,NB864
GLM,Manual,0.975,NB853
GLM,inferCNV,0.918257956,NB853
RF,Manual,0.975,NB853
RF,inferCNV,0.889949749,NB853
SVM,Manual,0.994974874,NB853
SVM,inferCNV,0.930695142,NB853
GLM,Manual,1,NB839
GLM,inferCNV,0.981091181,NB839
RF,Manual,1,NB839
RF,inferCNV,0.993273543,NB839
SVM,Manual,0.993273543,NB839
SVM,inferCNV,0.944245142,NB839
GLM,Manual,0.783333333,NB847
GLM,inferCNV,0.933333333,NB847
RF,Manual,0.933333333,NB847
RF,inferCNV,0.925,NB847
SVM,Manual,0.791666667,NB847
SVM,inferCNV,0.825,NB847
GLM,Manual,0.95,NB849
GLM,inferCNV,0.991666667,NB849
RF,Manual,0.966666667,NB849
RF,inferCNV,0.991666667,NB849
SVM,Manual,0.983333333,NB849
SVM,inferCNV,0.875,NB849
GLM,Manual,0.975,NB883
GLM,inferCNV,0.991666667,NB883
RF,Manual,0.991666667,NB883
RF,inferCNV,0.991666667,NB883
SVM,Manual,0.991666667,NB883
SVM,inferCNV,0.991666667,NB883